student_id,roll_no,student_name,current_semester,risk_category,subject_code,subject_name,credits,semester,marks,grade,sgpa,cgpa
1,KTE20CE031,KTE20CE031,1,Safe,CET301,CET301,3,1,30,F,,
1,KTE20CE031,KTE20CE031,1,Safe,CET303,CET303,3,1,30,F,,
2,KTE20CE053,KTE20CE053,1,Safe,CET301,CET301,3,1,30,F,,
2,KTE20CE053,KTE20CE053,1,Safe,CET305,CET305,3,1,30,F,,
2,KTE20CE053,KTE20CE053,1,Safe,CEL333,CEL333,3,1,55,C,,
3,KTE20CE059,KTE20CE059,1,Safe,CET303,CET303,3,1,30,F,,
3,KTE20CE059,KTE20CE059,1,Safe,CET305,CET305,3,1,30,F,,
3,KTE20CE059,KTE20CE059,1,Safe,CET307,CET307,3,1,30,F,,
4,KTE20CE060,KTE20CE060,1,Safe,CET307,CET307,3,1,30,F,,
5,KTE21CE032,KTE21CE032,1,Safe,CET303,CET303,3,1,30,F,,
5,KTE21CE032,KTE21CE032,1,Safe,CET305,CET305,3,1,30,F,,
5,KTE21CE032,KTE21CE032,1,Safe,CET307,CET307,3,1,30,F,,
6,KTE21CE063,KTE21CE063,1,Safe,CET303,CET303,3,1,30,F,,
6,KTE21CE063,KTE21CE063,1,Safe,CET305,CET305,3,1,42,P,,
6,KTE21CE063,KTE21CE063,1,Safe,CET307,CET307,3,1,30,F,,
6,KTE21CE063,KTE21CE063,1,Safe,CET309,CET309,3,1,42,P,,
7,KTE22CE008,KTE22CE008,1,Safe,CET303,CET303,3,1,30,F,,
8,KTE22CE027,KTE22CE027,1,Safe,HUT300,HUT300,3,1,65,B,,
8,KTE22CE027,KTE22CE027,1,Safe,CET303,CET303,3,1,55,C,,
8,KTE22CE027,KTE22CE027,1,Safe,CET307,CET307,3,1,30,F,,
9,KTE22CE040,KTE22CE040,1,Safe,MCN301,MCN301,3,1,42,P,,
10,KTE22CE047,KTE22CE047,1,Safe,CET303,CET303,3,1,30,F,,
11,KTE22CE048,KTE22CE048,1,Safe,CET303,CET303,3,1,30,F,,
12,KTE22CE063,KTE22CE063,1,Safe,CET301,CET301,3,1,30,F,,
12,KTE22CE063,KTE22CE063,1,Safe,CET307,CET307,3,1,30,F,,
13,KTE23CE001,KTE23CE001,1,Safe,MCN301,MCN301,3,1,55,C,,
13,KTE23CE001,KTE23CE001,1,Safe,CET301,CET301,3,1,30,F,,
13,KTE23CE001,KTE23CE001,1,Safe,CET305,CET305,3,1,55,C,,
13,KTE23CE001,KTE23CE001,1,Safe,CET307,CET307,3,1,30,F,,
13,KTE23CE001,KTE23CE001,1,Safe,CEL331,CEL331,3,1,65,B,,
13,KTE23CE001,KTE23CE001,1,Safe,CEL333,CEL333,3,1,65,B,,
13,KTE23CE001,KTE23CE001,1,Safe,CET309,CET309,3,1,55,C,,
14,KTE23CE002,KTE23CE002,1,Safe,CET303,CET303,3,1,55,C,,
14,KTE23CE002,KTE23CE002,1,Safe,CET305,CET305,3,1,55,C,,
14,KTE23CE002,KTE23CE002,1,Safe,CET307,CET307,3,1,30,F,,
14,KTE23CE002,KTE23CE002,1,Safe,CEL331,CEL331,3,1,82,A,,
14,KTE23CE002,KTE23CE002,1,Safe,CEL333,CEL333,3,1,82,A,,
14,KTE23CE002,KTE23CE002,1,Safe,CET309,CET309,3,1,30,F,,
15,KTE23CE004,KTE23CE004,1,Safe,MCN301,MCN301,3,1,55,C,,
15,KTE23CE004,KTE23CE004,1,Safe,CET301,CET301,3,1,65,B,,
15,KTE23CE004,KTE23CE004,1,Safe,CET303,CET303,3,1,65,B,,
15,KTE23CE004,KTE23CE004,1,Safe,CET305,CET305,3,1,55,C,,
15,KTE23CE004,KTE23CE004,1,Safe,CET307,CET307,3,1,65,B,,
15,KTE23CE004,KTE23CE004,1,Safe,CEL331,CEL331,3,1,82,A,,
15,KTE23CE004,KTE23CE004,1,Safe,CEL333,CEL333,3,1,82,A,,
15,KTE23CE004,KTE23CE004,1,Safe,CET309,CET309,3,1,55,C,,
16,KTE23CE005,KTE23CE005,1,Safe,MCN301,MCN301,3,1,65,B,,
16,KTE23CE005,KTE23CE005,1,Safe,CET301,CET301,3,1,65,B,,
16,KTE23CE005,KTE23CE005,1,Safe,CET303,CET303,3,1,65,B,,
16,KTE23CE005,KTE23CE005,1,Safe,CET305,CET305,3,1,65,B,,
16,KTE23CE005,KTE23CE005,1,Safe,CET307,CET307,3,1,55,C,,
16,KTE23CE005,KTE23CE005,1,Safe,CEL331,CEL331,3,1,95,O,,
16,KTE23CE005,KTE23CE005,1,Safe,CEL333,CEL333,3,1,82,A,,
16,KTE23CE005,KTE23CE005,1,Safe,CET309,CET309,3,1,55,C,,
17,KTE23CE006,KTE23CE006,1,Safe,MCN301,MCN301,3,1,55,C,,
17,KTE23CE006,KTE23CE006,1,Safe,CET301,CET301,3,1,30,F,,
17,KTE23CE006,KTE23CE006,1,Safe,CET303,CET303,3,1,30,F,,
17,KTE23CE006,KTE23CE006,1,Safe,CET305,CET305,3,1,30,F,,
17,KTE23CE006,KTE23CE006,1,Safe,CET307,CET307,3,1,30,F,,
17,KTE23CE006,KTE23CE006,1,Safe,CEL331,CEL331,3,1,65,B,,
17,KTE23CE006,KTE23CE006,1,Safe,CEL333,CEL333,3,1,82,A,,
17,KTE23CE006,KTE23CE006,1,Safe,CET309,CET309,3,1,42,P,,
18,KTE23CE008,KTE23CE008,1,Safe,CET301,CET301,3,1,30,F,,
18,KTE23CE008,KTE23CE008,1,Safe,CET303,CET303,3,1,30,F,,
18,KTE23CE008,KTE23CE008,1,Safe,CET305,CET305,3,1,30,F,,
18,KTE23CE008,KTE23CE008,1,Safe,CET307,CET307,3,1,30,F,,
18,KTE23CE008,KTE23CE008,1,Safe,CEL331,CEL331,3,1,55,C,,
18,KTE23CE008,KTE23CE008,1,Safe,CEL333,CEL333,3,1,65,B,,
18,KTE23CE008,KTE23CE008,1,Safe,CET309,CET309,3,1,30,F,,
19,KTE23CE009,KTE23CE009,1,Safe,MCN301,MCN301,3,1,65,B,,
19,KTE23CE009,KTE23CE009,1,Safe,CET301,CET301,3,1,82,A,,
19,KTE23CE009,KTE23CE009,1,Safe,CET303,CET303,3,1,65,B,,
19,KTE23CE009,KTE23CE009,1,Safe,CET305,CET305,3,1,55,C,,
19,KTE23CE009,KTE23CE009,1,Safe,CEL331,CEL331,3,1,82,A,,
19,KTE23CE009,KTE23CE009,1,Safe,CEL333,CEL333,3,1,82,A,,
19,KTE23CE009,KTE23CE009,1,Safe,CET309,CET309,3,1,55,C,,
20,KTE23CE010,KTE23CE010,1,Safe,MCN301,MCN301,3,1,82,A,,
20,KTE23CE010,KTE23CE010,1,Safe,CET301,CET301,3,1,42,P,,
20,KTE23CE010,KTE23CE010,1,Safe,CET303,CET303,3,1,65,B,,
20,KTE23CE010,KTE23CE010,1,Safe,CET305,CET305,3,1,55,C,,
20,KTE23CE010,KTE23CE010,1,Safe,CET307,CET307,3,1,42,P,,
20,KTE23CE010,KTE23CE010,1,Safe,CEL331,CEL331,3,1,82,A,,
20,KTE23CE010,KTE23CE010,1,Safe,CEL333,CEL333,3,1,82,A,,
20,KTE23CE010,KTE23CE010,1,Safe,CET309,CET309,3,1,55,C,,
21,KTE23CE011,KTE23CE011,1,Safe,MCN301,MCN301,3,1,65,B,,
21,KTE23CE011,KTE23CE011,1,Safe,CET301,CET301,3,1,42,P,,
21,KTE23CE011,KTE23CE011,1,Safe,CET305,CET305,3,1,30,F,,
21,KTE23CE011,KTE23CE011,1,Safe,CET307,CET307,3,1,30,F,,
21,KTE23CE011,KTE23CE011,1,Safe,CEL331,CEL331,3,1,82,A,,
21,KTE23CE011,KTE23CE011,1,Safe,CEL333,CEL333,3,1,65,B,,
21,KTE23CE011,KTE23CE011,1,Safe,CET309,CET309,3,1,55,C,,
22,KTE23CE012,KTE23CE012,1,Safe,MCN301,MCN301,3,1,82,A,,
22,KTE23CE012,KTE23CE012,1,Safe,CET301,CET301,3,1,65,B,,
22,KTE23CE012,KTE23CE012,1,Safe,CET303,CET303,3,1,65,B,,
22,KTE23CE012,KTE23CE012,1,Safe,CET305,CET305,3,1,65,B,,
22,KTE23CE012,KTE23CE012,1,Safe,CET307,CET307,3,1,55,C,,
22,KTE23CE012,KTE23CE012,1,Safe,CEL331,CEL331,3,1,95,O,,
22,KTE23CE012,KTE23CE012,1,Safe,CEL333,CEL333,3,1,95,O,,
22,KTE23CE012,KTE23CE012,1,Safe,CET309,CET309,3,1,82,A,,
23,KTE23CE013,KTE23CE013,1,Safe,MCN301,MCN301,3,1,42,P,,
23,KTE23CE013,KTE23CE013,1,Safe,CET301,CET301,3,1,42,P,,
23,KTE23CE013,KTE23CE013,1,Safe,CET303,CET303,3,1,42,P,,
23,KTE23CE013,KTE23CE013,1,Safe,CET305,CET305,3,1,30,F,,
23,KTE23CE013,KTE23CE013,1,Safe,CET307,CET307,3,1,30,F,,
23,KTE23CE013,KTE23CE013,1,Safe,CEL331,CEL331,3,1,65,B,,
